Wine	store_sku	catalogid	csize	pos_qty	web_qty	web_cost	cprice	surcharge	aipo	ppo	min_price	manual_price	web_markup	fcase_price	fbot_cost	pos_cost	xf_bot_cost	splitcase_charge	cost_diff	bot_per_case	xf_bot_per_case	Wholesaler	minimumquantity	hide	avail_code
Chateau Cos Labory St. Estephe	95102	730536	750ml	0	0	39.5800	47.4400		NULL	NULL	0.0000	0.0000	0.20	5225.00	435.42	39.5800	435.4200	0.5000	10.01	12	12	TOUT	NULL	0	2
Quinta Do Noval Porto Vintage	72015	696879	750ml	0	0	73.8300	88.5400		NULL	NULL	0.0000	0.0000	0.20	440.00	440	73.8300	73.3300	0.5000	4.97	1	6	TOUT	NULL	0	2
Chateau Guiraud Sauternes	90279	723936	375ml	0	0	25.4200	30.4400		NULL	NULL	0.0000	0.0000	0.20	649.00	54.08	25.4200	27.0400	0.5000	1.15	12	24	TOUT	NULL	0	2
Felsina Chianti Classico Rancia Riserva	55464	452879	1.5Ltr	0	0	116.5000	144.7400	5	NULL	NULL	0.0000	0.0000	0.24	699	233	73.3300	116.5000	0.0000	1.00	3	6	POLA	NULL	0	2
Chateau Jean-Pierre Gaussen Bandol	117453	753620	1.5Ltr	0	0	41.3300	54.5400	5	NULL	NULL	0.0000	0.0000	0.32	248.0000	82.67	41.3300	41.3300	0.0000	1.00	3	6	SKUR	NULL	0	2
Pol Roger Champagne Brut	95832	731290	15.0Ltr	0	0	1399.5000	1684.3400	5	NULL	NULL	0.0000	0.0000	0.20	$1,399.00	0	1399.5000	1399.0000	0.5000	1.00	1	1	WDMN	0	0	2
San Michele Rosso	83649	714065	750ml	0	0	23.3300	27.9400		NULL	27.6600000000000	0.0000	0.0000	0.20	280.00	46.67	23.3300	23.3300	0.0000	1.00	6	12	VS	6	0	2
Pol Roger Champagne Brut	95831	731289	12.0Ltr	0	0	999.5000	1199.3400		NULL	NULL	0.0000	0.0000	0.20	$999.00	0	999.5000	999.0000	0.5000	1.00	1	1	WDMN	0	0	2
Mas De Daumas Gassac Mas De Daumas Gassac Blanc	105064	740862	750ml	0	0	33.0000	39.5400		NULL	NULL	0.0000	0.0000	0.20	396	66	33.0000	33.0000	0.0000	1.00	6	12	POLA	NULL	0	2
Jacques Prieur Montrachet	95668	731133	1.5Ltr	0	0	800.5000	965.5400	5	NULL	NULL	0.0000	0.0000	0.21	$800.00	0	800.5000	800.0000	0.5000	1.00	3	3	WDMN	0	0	2
Lustau Almacenista Fino Puerto Gonzalez Obregon	88386	721299	500ml	0	0	13.3300	16.6400		NULL	NULL	0.0000	0.0000	0.25	160.0000	26.67	13.3300	13.3300	0.0000	1.00	6	12	SKUR	NULL	0	2
Jacques Prieur Chevalier-Montrachet	95662	731127	1.5Ltr	0	0	653.8300	789.5400	5	NULL	NULL	0.0000	0.0000	0.21	$653.33	0	653.8300	653.3300	0.5000	1.00	3	3	WDMN	0	0	2
Chateau D'yquem Sauternes	67394	691062	750ml	0	0	588.2000	705.7400		NULL	NULL	0.0000	0.0000	0.20	$587.70	0	588.2000	587.7000	0.5000	1.00	6	6	WDMN	0	0	2
Pol Roger Champagne Brut	95833	731291	6.0Ltr	0	0	444.5000	538.3400	5	NULL	NULL	0.0000	0.0000	0.21	$444.00	0	444.5000	444.0000	0.5000	1.00	1	1	WDMN	0	0	2
Pol Roger 00 W Churchill Champagne Cuvee Sir Winston Churchill, Brut	114779	750843	1.5Ltr	0	0	366.8300	444.9400	5	NULL	NULL	0.0000	0.0000	0.21	$366.33	0	366.8300	366.3300	0.5000	1.00	3	3	WDMN	0	0	2
Olivier Leflaive Montrachet	97114	732774	750ml	0	0	350.5000	420.5400		NULL	NULL	0.0000	0.0000	0.20	$350.00	0	350.5000	350.0000	0.5000	1.00	6	6	WDMN	0	0	2
Egon Muller Scharzhofberger Riesling Auslese	97403	733150	750ml	0	0	333.7500	400.4400		NULL	NULL	0.0000	0.0000	0.20	$333.25	0	333.7500	333.2500	0.5000	1.00	12	12	WDMN	0	0	2
Egon Muller Scharzhofberger Riesling Auslese	97402	733149	750ml	0	0	333.7500	400.4400		NULL	NULL	0.0000	0.0000	0.20	$333.25	0	333.7500	333.2500	0.5000	1.00	12	12	WDMN	0	0	2
Egon Muller Scharzhofberger Riesling Auslese	113236	749178	750ml	0	0	333.7500	400.4400		NULL	NULL	0.0000	0.0000	0.20	$333.25	0	333.7500	333.2500	0.5000	1.00	12	12	WDMN	0	0	2
Jacques Prieur Chevalier-Montrachet	76213	704524	750ml	0	0	323.5000	387.9400		NULL	NULL	0.0000	0.0000	0.20	$323.00	0	323.5000	323.0000	0.5000	1.00	6	6	WDMN	0	0	2
Olivier Leflaive Batard-Montrachet	113257	749199	750ml	0	0	297.5000	356.9400		NULL	NULL	0.0000	0.0000	0.20	$297.00	0	297.5000	297.0000	0.5000	1.00	6	6	WDMN	0	0	2
Egon Muller Scharzhofberger Riesling Auslese	97401	733148	750ml	0	0	242.1700	290.5400		NULL	NULL	0.0000	0.0000	0.20	$241.67	0	242.1700	241.6700	0.5000	1.00	12	12	WDMN	0	0	2
Paul Jaboulet Aine Hermitage La Chapelle	101932	737679	750ml	0	0	235.1700	281.9400		NULL	NULL	0.0000	0.0000	0.20	$234.67	0	235.1700	234.6700	0.5000	1.00	6	6	WDMN	0	0	2
Chateau Palmer Margaux	73603	701000	750ml	0	0	238.0000	285.5400		NULL	NULL	0.0000	0.0000	0.20	2850.00	475	238.0000	237.5000	0.5000	1.00	6	12	TOUT	NULL	0	2
Jacques Prieur Chambertin	101554	737281	750ml	0	0	217.1700	260.5400		NULL	NULL	0.0000	0.0000	0.20	$216.67	0	217.1700	216.6700	0.5000	1.00	6	6	WDMN	0	0	2
Chateau Palmer Margaux	73604	701001	750ml	0	0	221.3300	265.5400		NULL	NULL	0.0000	0.0000	0.20	2650.00	441.67	221.3300	220.8300	0.5000	1.00	6	12	TOUT	NULL	0	2
Paul Jaboulet Aine Hermitage La Chapelle	119874	756099	750ml	0	0	208.8300	250.5400		NULL	NULL	0.0000	0.0000	0.20	$208.33	0	208.8300	208.3300	0.5000	1.00	6	6	WDMN	0	0	2
Domaine Alain Burguet Chambertin Clos De Beze	95381	730860	750ml	0	0	192.0800	230.4400		NULL	NULL	0.0000	0.0000	0.20	$191.58	0	192.0800	191.5800	0.5000	1.00	12	12	WDMN	0	0	2
Jacques Prieur Clos Vougeot	115400	751467	750ml	0	0	187.8300	225.3400		NULL	NULL	0.0000	0.0000	0.20	$187.33	0	187.8300	187.3300	0.5000	1.00	6	6	WDMN	0	0	2
Lignier-Michelot Clos De La Roche Gc	118453	754633	750ml	0	0	186.8300	223.9400		NULL	NULL	0.0000	0.0000	0.20	$186.33	0	186.8300	186.3300	0.5000	1.00	6	6	WDMN	0	0	2
Pol Roger Champagne Cuvee Sir Winston Churchill, Brut	101593	737320	750ml	0	0	183.6700	220.3400		NULL	NULL	0.0000	0.0000	0.20	$183.17	0	183.6700	183.1700	0.5000	1.00	6	6	WDMN	0	0	2
Heitz Cabernet Sauvignon Martha's Vineyard	117577	753752	750ml	0	0	175.5000	210.5400		NULL	NULL	0.0000	0.0000	0.20	$175.00	0	175.5000	175.0000	0.5000	1.00	6	6	WDMN	0	0	2
Jacques Prieur Corton Bressandes	115401	751468	750ml	0	0	174.1700	208.9400		NULL	NULL	0.0000	0.0000	0.20	$173.67	0	174.1700	173.6700	0.5000	1.00	6	6	WDMN	0	0	2
Paul Jaboulet Aine Hermitage La Chapelle	76304	704657	1.5Ltr	0	0	170.5000	209.5400	5	NULL	NULL	0.0000	0.0000	0.23	$170.00	0	170.5000	170.0000	0.5000	1.00	6	6	WDMN	0	0	2
Churchill Porto Vintage	117576	753751	1.5Ltr	0	0	168.5000	206.9400	5	NULL	NULL	0.0000	0.0000	0.23	$168.00	0	168.5000	168.0000	0.5000	1.00	6	6	WDMN	0	0	2
Heitz Cabernet Sauvignon Martha's Vineyard	27910	424094	750ml	0	0	167.0800	200.4400		NULL	NULL	0.0000	0.0000	0.20	$166.58	0	167.0800	166.5800	0.5000	1.00	12	12	WDMN	0	0	2
Jacques Prieur Corton Bressandes	95664	731129	750ml	0	0	153.5000	183.9400		NULL	NULL	0.0000	0.0000	0.20	$153.00	0	153.5000	153.0000	0.5000	1.00	6	6	WDMN	0	0	2
Chateau Pape Clement Pessac Leognan	94688	730002	750ml	0	0	149.2500	178.9400		NULL	NULL	0.0000	0.0000	0.20	1785.00	297.5	149.2500	148.7500	0.5000	1.00	6	12	TOUT	NULL	0	2
Paul Jaboulet Aine Chateauneuf Du Pape Domaine De Terre Ferme	102472	738209	1.5Ltr	0	0	140.5000	173.5400	5	NULL	NULL	0.0000	0.0000	0.24	$140.00	0	140.5000	140.0000	0.5000	1.00	3	3	WDMN	0	0	2
Nino Negri Valtellina Sfursat 5 Stelle	117585	753760	1.5Ltr	0	0	140.5000	173.5400	5	NULL	NULL	0.0000	0.0000	0.24	$140.00	0	140.5000	140.0000	0.5000	1.00	1	1	WDMN	0	0	2
Jacques Prieur Clos Vougeot	101555	737282	750ml	0	0	137.5000	164.9400		NULL	NULL	0.0000	0.0000	0.20	$137.00	0	137.5000	137.0000	0.5000	1.00	6	6	WDMN	0	0	2
Churchill Porto Vintage	33400	429807	1.5Ltr	0	0	133.5000	164.9400	5	NULL	NULL	0.0000	0.0000	0.24	$133.00	0	133.5000	133.0000	0.5000	1.00	6	6	WDMN	0	0	2
Hugel Et Fils Gewurztraminer Selection De Grains Nobles	101550	737277	750ml	0	0	127.8300	153.3400		NULL	NULL	0.0000	0.0000	0.20	$127.33	0	127.8300	127.3300	0.5000	1.00	6	6	WDMN	0	0	2
Heitz Cabernet Sauvignon Martha's Vineyard	95552	731017	750ml	0	0	125.5000	150.5400		NULL	NULL	0.0000	0.0000	0.20	$125.00	0	125.5000	125.0000	0.5000	1.00	6	6	WDMN	0	0	2
